,business,category,address,lat,long,lifeline
0,Costco,servicestations,"4605 Morena Blvd', 'San Diego, CA 92117",32.8222499,-117.22527,4
1,Hazard Center Auto Mart,servicestations,"7698 Friars Rd', 'San Diego, CA 92108",32.77273,-117.158,4
2,Costco Gas,servicestations,"2345 Fenton Pkwy', 'San Diego, CA 92108",32.7803328,-117.1301116,4
3,PB European & Imports,autorepair,"1885 Garnet Ave', 'San Diego, CA 92109",32.80065,-117.23561,4
4,Hillcrest 76,servicestations,"3795 6th Ave', 'San Diego, CA 92103",32.7467155456543,-117.159202575684,4
5,Loma Riviera 76,tires,"4049 W Point Loma Blvd', 'San Diego, CA 92110",32.7536690360331,-117.223028919121,4
6,Clairemont Auto Care,servicestations,"4495 Clairemont Mesa Blvd', 'San Diego, CA 92117",32.834181,-117.195179,4
7,Vons Gas Station,servicestations,"1702 Garnet', 'c/s Jewell St', 'San Diego, CA 92109",32.8005146053745,-117.239492317352,4
8,Happy Car Wash,carwash,"3690 Murphy Canyon Rd', 'Ste 102', 'San Diego, CA 92123",32.8085,-117.11641,4
9,San Diego Car Care - 52 & Convoy,servicestations,"7740 Copley Park Pl', 'San Diego, CA 92111",32.836282,-117.152829,4
10,Costco Gas Station,servicestations,"650 Gateway Center Dr', 'San Diego, CA 92102",32.7126,-117.11606,4
11,Telesystems,telecommunications,"5886 Agee St', 'San Diego, CA 92122",32.84872,-117.20195,4
12,7-Eleven,convenience,"7801 Clairemont Mesa Blvd', 'San Diego, CA 92111",32.8322517247972,-117.152725494061,4
13,San Diego Car Care - Costa Verde,carwash,"8505 Costa Verde Blvd', 'San Diego, CA 92122",32.8668945741199,-117.21606961741,4
14,Americana Car Wash & Detail Center,carwash,"9510 Scranton Rd', 'San Diego, CA 92121",32.893868,-117.202566,4
15,7-Eleven,convenience,"3792 4th Ave', 'San Diego, CA 92103",32.7466410102317,-117.161867693066,4
16,Dana Landing,boating,"2580 Ingraham St', 'San Diego, CA 92109",32.7668082742219,-117.234480216444,4
17,Mission Valley Shell,servicestations,"5465 Mission Center Rd', 'San Diego, CA 92108",32.77385,-117.15353,4
18,NEX,servicestations,"2912 Nimitz Blvd', 'Bldg 472', 'San Diego, CA 92106",32.7282183809261,-117.224237771538,4
19,Good Point Gasoline,servicestations,"1076 Rosecrans St', 'San Diego, CA 92106",32.72141,-117.2322,4
20,7-Eleven,convenience,"4080 Convoy St', 'San Diego, CA 92111",32.8167497,-117.1550964,4
21,United Oil,servicestations,"3860 Governor Dr', 'San Diego, CA 92101",32.8549875150668,-117.205140735231,4
22,Chevron,carwash,"8110 Balboa Ave', 'San Diego, CA 92111",32.8223399,-117.14835,4
23,Washington Mobil,servicestations,"1809 W Washington St', 'San Diego, CA 92103",32.74278,-117.18124,4
24,7-Eleven,convenience,"1602 University Ave', 'San Diego, CA 92103",32.7487265359521,-117.149294088604,4
25,Hillcrest Shell,servicestations,"330 Washington St', 'San Diego, CA 92103",32.7502,-117.16194,4
26,Park Chevron,servicestations,"4180 Park Blvd', 'San Diego, CA 92103",32.7542379466524,-117.146623698772,4
27,Barry's Chevron,servicestations,"7070 Clairemont Mesa Blvd', 'San Diego, CA 92111",32.83305,-117.16423,4
28,Navy Exchange Murphy Canyon,servicestations,"3401 Santo Rd', 'San Diego, CA 92124",32.8079802,-117.1049451,4
29,Chevron,servicestations,"2290 Camino Del Rio N', 'San Diego, CA 92108",32.7715372098022,-117.140763555191,4
30,Chevron,servicestations,"6301 Del Cerro Blvd', 'San Diego, CA 92120",32.7831764221191,-117.061630249023,4
31,Valero Gas Station,convenience,"4342 Ingraham St', 'San Diego, CA 92109",32.7974472045898,-117.240585327148,4
32,MCX Gas Station,servicestations,"2662 Mathews Ave', 'San Diego, CA 92126",32.8903532272495,-117.123676616992,4
33,Harbor Island West Marina,boating,"2040 Harbor Island Dr', 'San Diego, CA 92101",32.7251821415417,-117.210619998431,4
34,Pacific Beach Gas,servicestations,"4404 Ingraham St', 'San Diego, CA 92109",32.7981300354004,-117.240707397461,4
35,Shell Gas Station,servicestations,"3901 Governor Dr', 'San Diego, CA 92122",32.85428,-117.20405,4
36,Valero Gas Station & Car Wash,servicestations,"5345 Kearny Villa Rd', 'San Diego, CA 92123",32.8303,-117.14051,4
37,7-Eleven,convenience,"1826 Rosecrans St', 'San Diego, CA 92106",32.7303857,-117.2246648,4
38,San Diego Gasoline,servicestations,"5194 Waring Rd', 'San Diego, CA 92120",32.79253,-117.08145,4
39,Tierrasanta Town Center Gas,servicestations,"10585 Tierrasanta Blvd', 'San Diego, CA 92124",32.8228099,-117.10151,4
40,Apro 26,servicestations,"3010 Market St', 'San Diego, CA 92102",32.71199,-117.12984,4
41,Valero Gas Station,servicestations,"1083 Morena Blvd', 'San Diego, CA 92110",32.76825,-117.19935,4
42,Chevron,servicestations,"7740 Copley Park Pi', 'San Diego, CA 92111",32.836589,-117.152901,4
43,7-Eleven,convenience,"2101 Fern St', 'San Diego, CA 92104",32.7277993,-117.1292773,4
44,Chevron Gas Station,servicestations,"8505 Costa Verde Blvd', 'San Diego, CA 92122",32.866712,-117.2162287,4
45,7-Eleven,convenience,"5102 Waring Rd', 'San Diego, CA 92120",32.7912746260111,-117.082640603185,4
46,Nex Autoport,autorepair,"1698 S 32nd St', 'San Diego, CA 92113",32.687855,-117.1255,4
47,7-Eleven,convenience,"6571 El Cajon Blvd', 'San Diego, CA 92115",32.766823,-117.056759,4
48,USA Gasoline,servicestations,"3255 University Ave', 'San Diego, CA 92104",32.74821,-117.12348,4
49,United Oil 76,servicestations,"2305 Sunset Cliffs Blvd', 'San Diego, CA 92107",32.7511,-117.24178,4
50,Pearson Fuels,servicestations,"4067 El Cajon Blvd', 'San Diego, CA 92105",32.755059376359,-117.107462435961,4
51,7-Eleven,servicestations,"7807 Balboa Ave', 'San Diego, CA 92111",32.8212944280052,-117.154560685158,4
52,Bob Stivers Shell,servicestations,"2290 Moore St', 'San Diego, CA 92110",32.748132,-117.192906,4
53,Arco AM/PM,servicestations,"3580 Sports Arena Blvd', 'San Diego, CA 92110",32.754417453732,-117.212934837639,4
54,7-Eleven,convenience,"6615 Linda Vista Rd', 'San Diego, CA 92111",32.7737573,-117.1750767,4
55,Chevron Stations,servicestations,"8210 Camino Santa Fe', 'San Diego, CA 92121",32.87831,-117.1731,4
56,ampm,servicestations,"2340 El Cajon Blvd', 'San Diego, CA 92104",32.755705,-117.139175,4
57,MCX Auto Service Center,servicestations,"Noveleta St', 'San Diego, CA 92110",32.74061,-117.19254,4
58,Mobil Mart,servicestations,"10496 Clairemont Mesa Blvd', 'San Diego, CA 92124",32.8297757403623,-117.103700477286,4
59,United Oil,servicestations,"3927 El Cajon Blvd', 'San Diego, CA 92105",32.7548206277326,-117.109815739095,4
60,7-Eleven,servicestations,"3385 Sand Rock Rd', 'San Diego, CA 92123",32.8046949,-117.1397907,4
61,WestAir Gases & Equipment - San Diego,buildingsupplies,"2506 Market St', 'San Diego, CA 92102",32.71194,-117.13985,4
62,Mobil Gas Station,servicestations,"2045 Pacific Hwy', 'San Diego, CA 92101",32.72518,-117.17144,4
63,Circle K,servicestations,"4360 Genesee Ave', 'San Diego, CA 92117",32.82268,-117.18427,4
64,California Super Gas,carwash,"1885 Garnet Ave', 'San Diego, CA 92109",32.8006553649902,-117.235610961914,4
65,Ocean Beach Shell,servicestations,"4794 Voltaire St', 'San Diego, CA 92107",32.74997,-117.24277,4
66,MCX Miramar Gas Station,servicestations,"Miramar Ct', 'San Diego, CA 92126",32.883801884603,-117.118869870901,4
67,Shell Gas Station,servicestations,"1031-1099 A St', 'San Diego, CA 92101",32.718538,-117.155004528901,4
68,Chevron,servicestations,"3690 Murphy Canyon Rd', 'San Diego, CA 92123",32.808613,-117.116504,4
69,United Oil,servicestations,"3766 Clairemont Mesa Blvd', 'San Diego, CA 92117",32.8280220031738,-117.206504821777,4
70,Mega Fuel,servicestations,"7153 Clairemont Mesa Blvd', 'San Diego, CA 92111",32.83223,-117.16307,4
71,76,servicestations,"3860 Kearny Mesa Rd', 'San Diego, CA 92111",32.813933,-117.15251,4
72,Pearson Marine Fuels Inc,fueldocks,"2435 Shelter Island Dr', 'San Diego, CA 92106",32.719162,-117.2258828,4
73,7-Eleven,convenience,"1670 Kettner Blvd', 'San Diego, CA 92101",32.7221375173547,-117.169376760748,4
74,Chevron Stations,servicestations,"3602 El Cajon Blvd', 'San Diego, CA 92104",32.7556,-117.11548,4
75,Chevron Stations,servicestations,"3359 University Ave', 'San Diego, CA 92104",32.7486000061035,-117.121528625488,4
76,We Green Inc,hvac,"3645 Ruffin Rd', 'Ste 330', 'San Diego, CA 92123",32.81007,-117.11901,4
77,Mission Bay 76,servicestations,"2804 Garnet Ave', 'San Diego, CA 92109",32.8064231872559,-117.218658447266,4
78,ampm,servicestations,"1875 Grand Ave', 'San Diego, CA 92109",32.798634,-117.234947,4
79,28th St NEX Fuel,servicestations,"Colton Ave', 'San Diego, CA 92113",32.691831730312,-117.132608444258,4
80,Chevron,servicestations,"7737 Balboa Ave', 'San Diego, CA 92111",32.82136,-117.15646,4
81,Mobil Gas Station and Car Wash,servicestations,"3233 La Jolla Village Dr', 'San Diego, CA 92037",32.8712971291952,-117.233378,4
82,7-Eleven,convenience,"9609 Aero Dr', 'San Diego, CA 92123",32.8076428876213,-117.121869842531,4
83,Shell,servicestations,"4201 West Pt Loma Blvd', 'San Diego, CA 92110",32.75242,-117.22681,4
84,Valero Gas,servicestations,"4616 Texas St', 'San Diego, CA 92116",32.761299,-117.139116,4
85,Shell,carwash,"7785 Clairmont Mesa', 'San Diego, CA 92111",32.83237,-117.15372,4
86,Miramar West Shell,servicestations,"8920 Miramar Rd', 'San Diego, CA 92126",32.894078,-117.133051,4
87,ampm,servicestations,"2940 Lytton St', 'San Diego, CA 92110",32.744165,-117.211791,4
88,7-Eleven,convenience,"6401 Mission Gorge Rd', 'San Diego, CA 92120",32.790006711542,-117.097170377069,4
89,Shell - San Diego,servicestations,"3711 Camino Del Rio W', 'San Diego, CA 92110",32.75421,-117.20444,4
90,ampm,servicestations,"1817 Euclid Ave', 'San Diego, CA 92105",32.724651,-117.084541,4
91,Shell,servicestations,"3425 Midway Dr', 'San Diego, CA 92110",32.7502799,-117.21278,4
92,Bob Stivers Shell,servicestations,"1011 A St', 'San Diego, CA 92101",32.718937,-117.155333,4
93,Valero,servicestations,"3377 Sandrock Rd', 'San Diego, CA 92123",32.8040422197674,-117.13960099943,4
94,Chevron,servicestations,"3774 Main St', 'San Diego, CA 92113",32.6838359931218,-117.112621041557,4
95,SDG&E,utilities,"336 Euclid Ave', 'Ste 502', 'San Diego, CA 92114",32.708074,-117.085099,4
96,7-Eleven,convenience,"3603 College Ave', 'San Diego, CA 92115",32.7461673,-117.0587632,4
97,ARCO Station,servicestations,"3860 Old Town Ave', 'San Diego, CA 92110",32.74855,-117.19329,4
98,Shell,servicestations,"3535 India St', 'San Diego, CA 92103",32.7396965026855,-117.177757263184,4
99,Petromerica,servicestations,"1548 F St', 'San Diego, CA 92101",32.713939666748,-117.14990234375,4
100,Solar Energy Solutions,solarinstallation,"801 A St', 'Ste 803', 'San Diego, CA 92101",32.71862,-117.15715,4
