,business,category,address,lat,long,lifeline
0,Mona Lisa Italian Foods,grocery,"2061 India St', 'San Diego, CA 92101",32.72622,-117.16905,2
1,The Marketplace,delis,"2601 5th Ave', 'San Diego, CA 92103",32.73268,-117.16,2
2,Trader Joe's,grocery,"1072 Camino Del Rio N', 'San Diego, CA 92108",32.766165,-117.155166,2
3,Pancho Villa's Farmer's Market,grocery,"3245 El Cajon Blvd', 'San Diego, CA 92104",32.7547799,-117.1236,2
4,Zion Market,grocery,"7655 Clairemont Mesa Blvd', 'San Diego, CA 92111",32.831369,-117.155172,2
5,Siesel's Old Fashioned Meats,meats,"4131 Ashton St', 'San Diego, CA 92110",32.78139,-117.20649,2
6,The Olive Tree Marketplace,grocery,"4805 Narragansett Ave', 'San Diego, CA 92107",32.74291,-117.24937,2
7,Pure Water Health,waterstores,"8199 Clairemont Mesa Blvd', 'Ste K-1', 'San Diego, CA 92111",32.8322319,-117.1470856,2
8,Royal Food Mart,grocery,"3403 1st Ave', 'San Diego, CA 92103",32.74089,-117.1640012,2
9,99 Ranch Market,grocery,"7330 Clairemont Mesa Blvd', 'San Diego, CA 92111",32.8333224123675,-117.160767883865,2
10,Trader Joe's,grocery,"2401 Truxtun Rd', 'San Diego, CA 92106",32.7360397873886,-117.217380973907,2
11,Windmill Farms,grocery,"6386 Del Cerro Blvd', 'San Diego, CA 92120",32.7837255698367,-117.059771364418,2
12,Whole Foods Market,grocery,"711 University Ave', 'San Diego, CA 92103",32.7479508,-117.1580496,2
13,Marukai Market,grocery,"8151 Balboa Ave', 'San Diego, CA 92111",32.8213,-117.14817,2
14,The Water Lady Water Stores,waterstores,"2527 1/2 University Ave', 'San Diego, CA 92104",32.74822,-117.1371,2
15,Fresh Alka Water,waterstores,"6628 Mission Gorge Rd', 'Ste A2', 'San Diego, CA 92120",32.793549,-117.0979351,2
16,San Diego Humane Society,animalshelters,"5500 Gaines St', 'San Diego, CA 92110",32.7658,-117.19384,2
17,Park Blvd Liquor and Deli,grocery,"4504 Park Blvd', 'San Diego, CA 92116",32.75927,-117.14647,2
18,Trader Joe's,grocery,"1090 University Ave', 'San Diego, CA 92103",32.7498752,-117.1538189,2
19,Tropical Star Restaurant & Specialty Market,grocery,"6163 Balboa Ave', 'San Diego, CA 92111",32.81959,-117.17469,2
20,Jimbo's...Naturally!,grocery,"92 Horton Plz', 'San Diego, CA 92101",32.7133553531762,-117.16351389885,2
21,Bristol Farms La Jolla,grocery,"8510 Genesee Ave', 'San Diego, CA 92122",32.867654,-117.215355,2
22,Tokyo Central & Main,candy,"8111 Balboa Ave', 'San Diego, CA 92111",32.8210979575821,-117.148475041803,2
23,Grocery Outlet Bargain Market,grocery,"1002 Market St', 'San Diego, CA 92101",32.711929,-117.155113,2
24,"Barons Market, Point Loma",grocery,"4001 W Point Loma Blvd', 'San Diego, CA 92110",32.753437,-117.222305,2
25,Grant's Marketplace,grocery,"2953 Beech St', 'San Diego, CA 92102",32.7211265563965,-117.130935668945,2
26,99 Ranch Market,grocery,"5950 Balboa Ave', 'San Diego, CA 92111",32.82127,-117.17695,2
27,The O.B. Water Store,waterstores,"3960 W Point Loma Blvd', 'Ste L', 'San Diego, CA 92110",32.7543889,-117.2221802,2
28,North Park Produce,grocery,"3551 El Cajon Blvd', 'San Diego, CA 92104",32.7549209594727,-117.11653137207,2
29,Northgate Market,grocery,"1410 S 43rd St', 'San Diego, CA 92113",32.6915825020938,-117.103818212308,2
30,Harvest International Market,grocery,"4220 Balboa Ave', 'San Diego, CA 92117",32.812773,-117.200124,2
31,P B Water Store,waterstores,"4450 Lamont St', 'San Diego, CA 92109",32.80028,-117.23541,2
32,Wee Companions Small Animal Adoption,animalshelters,"3368 Governor Dr', 'Ste F', 'San Diego, CA 92122",32.85094,-117.2136394,2
33,Sprouts Farmers Market,grocery,"4439 Genesse Ave', 'San Diego, CA 92117",32.824406,-117.183729708195,2
34,Sprouts Farmers Market,grocery,"4175 Park Blvd', 'San Diego, CA 92103",32.7532642,-117.1458632,2
35,Grocery Outlet Bargain Market,grocery,"3948 W Point Loma Blvd', 'San Diego, CA 92110",32.7555686804367,-117.221621739329,2
