,business,category,address,lat,long,lifeline
0,Clean Green Hauling,junkremovalandhauling,"San Diego, CA 92109",32.79522,-117.23766,6
1,Miramar Landfill,recyclingcenter,"5180 Convoy St', 'San Diego, CA 92111",32.8366925350218,-117.152311299297,6
2,SES Secure E-Waste Solutions,recyclingcenter,"8810 Rehco Rd', 'Ste C', 'San Diego, CA 92121",32.8826,-117.17113,6
3,Envirogreen Recycling,recyclingcenter,"9596 Chesapeake Dr', 'Ste B', 'San Diego, CA 92123",32.8346888,-117.1225096,6
4,Manos Hauling and Recycling,junkremovalandhauling,"6974 Mission Gorge Rd', 'San Diego, CA 92120",32.8006075,-117.0914743,6
5,San Diego CRV Center,recyclingcenter,"857 32nd St', 'San Diego, CA 92102",32.714134,-117.1254348,6
6,Update Green,recyclingcenter,"7887 Dunbrook Rd', 'Ste C', 'San Diego, CA 92126",32.8925178945065,-117.151150256395,6
7,The Bioclean Team,hazardouswastedisposal,"San Diego, CA 92101",32.71937,-117.16112,6
8,The Miramar Recycling Center,recyclingcenter,"5165 Convoy St', 'San Diego, CA 92111",32.840042,-117.150517,6
9,AB  Recycling,recyclingcenter,"3055 Fairmount Ave', 'San Diego, CA 92105",32.73782,-117.10067,6
10,J & R Recycling,recyclingcenter,"3374 National Ave', 'San Diego, CA 92113",32.69624,-117.12156,6
11,Tayman Industries,junkremovalandhauling,"5692 Eastgate Dr', 'San Diego, CA 92121",32.88433,-117.19779,6
12,Green Hat Electronics,recyclingcenter,"9373 Activity Rd', 'Ste C', 'San Diego, CA 92126",32.8964721,-117.1251425,6
13,San Diego Medical Waste Services,hazardouswastedisposal,"7630 Miramar Rd', 'Ste 2200', 'San Diego, CA 92126",32.8869941282046,-117.152376161377,6
14,Alliance Environmental Group,demolitionservices,"8390 Juniper Creek Ln', 'San Diego, CA 92126",32.8976881,-117.1460987,6
15,Bio1 San Diego,biohazardcleanup,"9187 Clairemont Mesa Blvd', 'Ste 6', 'San Diego, CA 92123",32.83094,-117.13158,6
16,RePlanet Recycling,recyclingcenter,"4460 University Ave', 'San Diego, CA 92105",32.74984,-117.09841,6
17,Dan Regan Recycling,recyclingcenter,"3536 A Ashford St', 'San Diego, CA 92111",32.80825,-117.16059,6
18,American Recycling,recyclingcenter,"4070 Home Ave', 'San Diego, CA 92105",32.7226638793945,-117.108749389648,6
19,Allan Company,recyclingcenter,"5165 Convoy St', 'San Diego, CA 92111",32.8389014993163,-117.151830889952,6
20,Allan Company,recyclingcenter,"6733 Consolidated Way', 'San Diego, CA 92121",32.876496,-117.170253,6
21,San Diego County Recycling,recyclingcenter,"3974 Spring Dr', 'Spring Valley, CA 91977",32.751102,-117.002731,6
22,Avritek,recyclingcenter,"650 Gateway Ctr Way', 'Ste I', 'San Diego, CA 92102",32.712581,-117.1129055,6
23,Time Recycling Center,recyclingcenter,"412 Cesar E Chavez Pkwy', 'San Diego, CA 92113",32.7050885250639,-117.141040758266,6
24,Clean Harbors Environmental Services,recyclingcenter,"3495 Kurtz St', 'San Diego, CA 92110",32.75562,-117.21031,6
25,Clean Earth Restorations,damagerestoration,"1282 Fayette St', 'El Cajon, CA 92020",32.8130556,-116.9785505,6
26,RYC Scrap Metal,junkremovalandhauling,"San Diego, CA 92108",32.78218,-117.11116,6
27,Resource Management Group,recyclingcenter,"4686 Mercury Street', 'San Diego, CA 92111",32.82614,-117.14983,6
28,Ekco Metals,recyclingcenter,"2846 Commercial St', 'San Diego, CA 92113",32.70567,-117.13294,6
29,Harmony Environmental Services,enviroabatement,"La Mesa, CA 91942",32.7787590026855,-117.030166625977,6
30,Leed Recycling,recyclingcenter,"8725 Miramar Pl', 'San Diego, CA 92121",32.8825225,-117.1823522,6
31,EDCO,junkremovalandhauling,"6670 Federal Blvd', 'Lemon Grove, CA 91945",32.7363815307617,-117.055160522461,6
32,SA Recycling,recyclingcenter,"3202 Main St', 'San Diego, CA 92113",32.69258,-117.12502,6
33,IMS Recycling Services,recyclingcenter,"2740 Boston Ave', 'San Diego, CA 92113",32.6941360406694,-117.134933285415,6
34,Jamie Prince Recycling,recyclingcenter,"6386 Del Cerro Blvd', 'San Diego, CA 92120",32.78366,-117.05959,6
35,Allied Waste Pacific Waste Services,recyclingcenter,"San Diego, CA 92101",32.7211,-117.16431,6
